customer_id,customer_segment,region,registration_date,age_group
59,Premium,West,2022-02-01 18:30:04.502251125,55+
60,Standard,South,2022-02-02 07:38:52.166083041,26-35
61,Standard,East,2022-02-02 20:47:39.829914957,46-55
62,Standard,North,2022-02-03 09:56:27.493746873,36-45
63,Basic,North,2022-02-03 23:05:15.157578789,46-55
64,Standard,North,2022-02-04 12:14:02.821410705,46-55
65,Standard,South,2022-02-05 01:22:50.485242621,18-25
66,Standard,South,2022-02-05 14:31:38.149074537,36-45
67,Premium,North,2022-02-06 03:40:25.812906453,26-35
68,Basic,South,2022-02-06 16:49:13.476738369,46-55
69,Premium,Central,2022-02-07 05:58:01.140570285,36-45
70,Basic,Central,2022-02-07 19:06:48.804402201,46-55
71,Basic,South,2022-02-08 08:15:36.468234117,18-25
72,Premium,North,2022-02-08 21:24:24.132066033,36-45
73,Premium,South,2022-02-09 10:33:11.795897949,26-35
74,Basic,South,2022-02-09 23:41:59.459729865,55+
75,Basic,South,2022-02-10 12:50:47.123561781,55+
76,Basic,East,2022-02-11 01:59:34.787393697,55+
77,Basic,Central,2022-02-11 15:08:22.451225613,46-55
78,Premium,West,2022-02-12 04:17:10.115057529,46-55
79,Standard,West,2022-02-12 17:25:57.778889445,26-35
80,Premium,East,2022-02-13 06:34:45.442721361,26-35
81,Basic,South,2022-02-13 19:43:33.106553277,36-45
82,Standard,East,2022-02-14 08:52:20.770385193,46-55
83,Standard,East,2022-02-14 22:01:08.434217109,55+
84,Premium,North,2022-02-15 11:09:56.098049025,26-35
85,Standard,Central,2022-02-16 00:18:43.761880940,55+
86,Standard,West,2022-02-16 13:27:31.425712856,46-55
87,Basic,South,2022-02-17 02:36:19.089544772,36-45
88,Standard,West,2022-02-17 15:45:06.753376688,26-35
89,Basic,West,2022-02-18 04:53:54.417208604,18-25
90,Standard,Central,2022-02-18 18:02:42.081040520,36-45
91,Premium,West,2022-02-19 07:11:29.744872436,46-55
92,Basic,West,2022-02-19 20:20:17.408704352,26-35
93,Basic,East,2022-02-20 09:29:05.072536268,36-45
94,Standard,Central,2022-02-20 22:37:52.736368184,55+
95,Basic,North,2022-02-21 11:46:40.400200100,46-55
96,Standard,South,2022-02-22 00:55:28.064032016,55+
97,Standard,West,2022-02-22 14:04:15.727863932,26-35
98,Standard,South,2022-02-23 03:13:03.391695848,26-35
99,Premium,North,2022-02-23 16:21:51.055527764,46-55
100,Premium,South,2022-02-24 05:30:38.719359680,36-45
101,Premium,North,2022-02-24 18:39:26.383191596,18-25
102,Standard,East,2022-02-25 07:48:14.047023512,26-35
103,Standard,West,2022-02-25 20:57:01.710855428,36-45
104,Standard,North,2022-02-26 10:05:49.374687344,26-35
105,Basic,South,2022-02-26 23:14:37.038519260,26-35
106,Standard,West,2022-02-27 12:23:24.702351176,26-35
107,Standard,East,2022-02-28 01:32:12.366183092,18-25
108,Basic,West,2022-02-28 14:41:00.030015008,36-45
109,Standard,North,2022-03-01 03:49:47.693846924,36-45
110,Premium,East,2022-03-01 16:58:35.357678840,46-55
111,Standard,South,2022-03-02 06:07:23.021510756,26-35
112,Premium,East,2022-03-02 19:16:10.685342672,26-35
113,Basic,East,2022-03-03 08:24:58.349174588,36-45
114,Basic,Central,2022-03-03 21:33:46.013006504,36-45
115,Standard,East,2022-03-04 10:42:33.676838420,36-45
116,Basic,East,2022-03-04 23:51:21.340670336,26-35
117,Basic,West,2022-03-05 13:00:09.004502251,55+
118,Premium,South,2022-03-06 02:08:56.668334167,26-35
119,Basic,West,2022-03-06 15:17:44.332166083,36-45
120,Standard,West,2022-03-07 04:26:31.995997999,46-55
121,Basic,North,2022-03-07 17:35:19.659829915,36-45
122,Basic,West,2022-03-08 06:44:07.323661831,26-35
123,Standard,Central,2022-03-08 19:52:54.987493747,36-45
124,Premium,Central,2022-03-09 09:01:42.651325663,46-55
125,Standard,North,2022-03-09 22:10:30.315157579,26-35
126,Standard,South,2022-03-10 11:19:17.978989495,18-25
127,Basic,South,2022-03-11 00:28:05.642821411,26-35
128,Basic,West,2022-03-11 13:36:53.306653327,46-55
129,Premium,West,2022-03-12 02:45:40.970485243,18-25
130,Standard,West,2022-03-12 15:54:28.634317159,55+
131,Standard,South,2022-03-13 05:03:16.298149075,36-45
132,Standard,East,2022-03-13 18:12:03.961980991,55+
133,Premium,Central,2022-03-14 07:20:51.625812907,55+
134,Standard,East,2022-03-14 20:29:39.289644823,36-45
135,Basic,East,2022-03-15 09:38:26.953476739,26-35
136,Standard,South,2022-03-15 22:47:14.617308655,26-35
137,Standard,East,2022-03-16 11:56:02.281140571,26-35
138,Basic,North,2022-03-17 01:04:49.944972487,46-55
139,Standard,West,2022-03-17 14:13:37.608804403,26-35
140,Basic,North,2022-03-18 03:22:25.272636319,26-35
141,Basic,Central,2022-03-18 16:31:12.936468235,36-45
142,Standard,West,2022-03-19 05:40:00.600300150,55+
143,Standard,East,2022-03-19 18:48:48.264132066,26-35
144,Standard,Central,2022-03-20 07:57:35.927963982,18-25
145,Standard,West,2022-03-20 21:06:23.591795898,18-25
146,Premium,East,2022-03-21 10:15:11.255627814,55+
147,Standard,North,2022-03-21 23:23:58.919459730,36-45
148,Standard,West,2022-03-22 12:32:46.583291646,26-35
149,Premium,East,2022-03-23 01:41:34.247123562,26-35
150,Standard,North,2022-03-23 14:50:21.910955478,26-35
151,Basic,Central,2022-03-24 03:59:09.574787394,18-25
152,Standard,Central,2022-03-24 17:07:57.238619310,55+
153,Premium,Central,2022-03-25 06:16:44.902451226,46-55
154,Standard,Central,2022-03-25 19:25:32.566283142,36-45
155,Basic,South,2022-03-26 08:34:20.230115058,55+
156,Standard,West,2022-03-26 21:43:07.893946974,26-35
157,Standard,West,2022-03-27 10:51:55.557778890,46-55
158,Basic,South,2022-03-28 00:00:43.221610806,55+
159,Standard,East,2022-03-28 13:09:30.885442722,26-35
160,Basic,East,2022-03-29 02:18:18.549274638,46-55
161,Standard,Central,2022-03-29 15:27:06.213106554,26-35
162,Standard,North,2022-03-30 04:35:53.876938470,26-35
163,Standard,East,2022-03-30 17:44:41.540770386,18-25
164,Standard,North,2022-03-31 06:53:29.204602302,36-45
165,Premium,West,2022-03-31 20:02:16.868434218,46-55
166,Basic,North,2022-04-01 09:11:04.532266134,55+
167,Standard,West,2022-04-01 22:19:52.196098050,36-45
168,Premium,South,2022-04-02 11:28:39.859929965,55+
169,Premium,South,2022-04-03 00:37:27.523761881,46-55
170,Standard,Central,2022-04-03 13:46:15.187593797,26-35
171,Standard,East,2022-04-04 02:55:02.851425713,36-45
172,Premium,Central,2022-04-04 16:03:50.515257629,18-25
173,Standard,West,2022-04-05 05:12:38.179089545,46-55
174,Standard,Central,2022-04-05 18:21:25.842921461,55+
175,Standard,North,2022-04-06 07:30:13.506753377,18-25
176,Premium,West,2022-04-06 20:39:01.170585293,46-55
177,Standard,South,2022-04-07 09:47:48.834417209,36-45
178,Standard,East,2022-04-07 22:56:36.498249125,36-45
179,Basic,West,2022-04-08 12:05:24.162081041,26-35
180,Premium,West,2022-04-09 01:14:11.825912957,26-35
181,Standard,North,2022-04-09 14:22:59.489744873,18-25
182,Premium,East,2022-04-10 03:31:47.153576789,26-35
183,Basic,South,2022-04-10 16:40:34.817408705,18-25
184,Basic,West,2022-04-11 05:49:22.481240621,36-45
185,Standard,West,2022-04-11 18:58:10.145072537,18-25
186,Standard,North,2022-04-12 08:06:57.808904453,55+
187,Basic,Central,2022-04-12 21:15:45.472736369,36-45
188,Standard,South,2022-04-13 10:24:33.136568285,46-55
189,Standard,East,2022-04-13 23:33:20.800400201,36-45
190,Standard,West,2022-04-14 12:42:08.464232117,36-45
191,Premium,West,2022-04-15 01:50:56.128064033,55+
192,Basic,South,2022-04-15 14:59:43.791895948,18-25
193,Basic,Central,2022-04-16 04:08:31.455727864,26-35
194,Standard,West,2022-04-16 17:17:19.119559780,46-55
195,Standard,South,2022-04-17 06:26:06.783391696,18-25
196,Standard,North,2022-04-17 19:34:54.447223612,18-25
197,Basic,Central,2022-04-18 08:43:42.111055528,26-35
198,Basic,East,2022-04-18 21:52:29.774887444,18-25
199,Basic,West,2022-04-19 11:01:17.438719360,36-45
200,Basic,South,2022-04-20 00:10:05.102551276,26-35
201,Standard,North,2022-04-20 13:18:52.766383192,55+
202,Premium,East,2022-04-21 02:27:40.430215108,46-55
203,Premium,South,2022-04-21 15:36:28.094047024,46-55
204,Basic,South,2022-04-22 04:45:15.757878940,36-45
205,Standard,East,2022-04-22 17:54:03.421710856,55+
206,Premium,North,2022-04-23 07:02:51.085542772,26-35
207,Premium,North,2022-04-23 20:11:38.749374688,55+
208,Standard,Central,2022-04-24 09:20:26.413206604,46-55
209,Premium,West,2022-04-24 22:29:14.077038520,46-55
210,Premium,East,2022-04-25 11:38:01.740870436,36-45
211,Standard,East,2022-04-26 00:46:49.404702352,26-35
212,Standard,East,2022-04-26 13:55:37.068534268,36-45
213,Standard,North,2022-04-27 03:04:24.732366184,46-55
214,Standard,West,2022-04-27 16:13:12.396198100,18-25
215,Basic,Central,2022-04-28 05:22:00.060030016,46-55
216,Standard,South,2022-04-28 18:30:47.723861932,26-35
217,Standard,South,2022-04-29 07:39:35.387693848,18-25
218,Basic,East,2022-04-29 20:48:23.051525764,18-25
219,Standard,West,2022-04-30 09:57:10.715357680,18-25
220,Basic,North,2022-04-30 23:05:58.379189596,36-45
221,Standard,West,2022-05-01 12:14:46.043021512,26-35
222,Standard,West,2022-05-02 01:23:33.706853428,55+
223,Premium,North,2022-05-02 14:32:21.370685344,36-45
224,Standard,East,2022-05-03 03:41:09.034517260,18-25
225,Standard,West,2022-05-03 16:49:56.698349176,46-55
226,Standard,South,2022-05-04 05:58:44.362181092,55+
227,Basic,North,2022-05-04 19:07:32.026013008,46-55
228,Standard,Central,2022-05-05 08:16:19.689844924,18-25
229,Basic,East,2022-05-05 21:25:07.353676840,55+
230,Standard,North,2022-05-06 10:33:55.017508756,46-55
231,Basic,Central,2022-05-06 23:42:42.681340672,26-35
232,Standard,Central,2022-05-07 12:51:30.345172586,18-25
233,Standard,West,2022-05-08 02:00:18.009004502,36-45
234,Standard,West,2022-05-08 15:09:05.672836418,26-35
235,Premium,West,2022-05-09 04:17:53.336668334,46-55
236,Basic,North,2022-05-09 17:26:41.000500250,26-35
237,Standard,North,2022-05-10 06:35:28.664332166,55+
238,Premium,East,2022-05-10 19:44:16.328164082,36-45
239,Standard,West,2022-05-11 08:53:03.991995998,26-35
240,Premium,Central,2022-05-11 22:01:51.655827914,18-25
241,Basic,South,2022-05-12 11:10:39.319659830,36-45
242,Basic,East,2022-05-13 00:19:26.983491746,46-55
243,Basic,North,2022-05-13 13:28:14.647323662,46-55
244,Standard,East,2022-05-14 02:37:02.311155578,26-35
245,Premium,East,2022-05-14 15:45:49.974987494,26-35
246,Basic,East,2022-05-15 04:54:37.638819410,18-25
247,Standard,East,2022-05-15 18:03:25.302651326,46-55
248,Basic,South,2022-05-16 07:12:12.966483242,18-25
249,Basic,West,2022-05-16 20:21:00.630315158,36-45
250,Basic,Central,2022-05-17 09:29:48.294147074,36-45
251,Standard,East,2022-05-17 22:38:35.957978990,55+
252,Standard,East,2022-05-18 11:47:23.621810906,26-35
253,Basic,East,2022-05-19 00:56:11.285642822,26-35
254,Standard,West,2022-05-19 14:04:58.949474738,46-55
255,Premium,North,2022-05-20 03:13:46.613306654,36-45
256,Standard,North,2022-05-20 16:22:34.277138570,26-35
257,Basic,South,2022-05-21 05:31:21.940970486,55+
258,Standard,North,2022-05-21 18:40:09.604802402,46-55
259,Standard,East,2022-05-22 07:48:57.268634318,26-35
260,Premium,East,2022-05-22 20:57:44.932466234,26-35
261,Standard,East,2022-05-23 10:06:32.596298150,36-45
262,Basic,South,2022-05-23 23:15:20.260130066,46-55
263,Premium,East,2022-05-24 12:24:07.923961982,18-25
264,Standard,North,2022-05-25 01:32:55.587793898,46-55
265,Basic,West,2022-05-25 14:41:43.251625814,36-45
266,Basic,West,2022-05-26 03:50:30.915457730,26-35
267,Standard,Central,2022-05-26 16:59:18.579289646,46-55
268,Basic,North,2022-05-27 06:08:06.243121562,55+
269,Standard,East,2022-05-27 19:16:53.906953478,18-25
270,Standard,West,2022-05-28 08:25:41.570785394,26-35
271,Basic,North,2022-05-28 21:34:29.234617310,36-45
272,Basic,West,2022-05-29 10:43:16.898449226,55+
273,Basic,East,2022-05-29 23:52:04.562281142,55+
274,Basic,West,2022-05-30 13:00:52.226113058,36-45
275,Standard,Central,2022-05-31 02:09:39.889944974,46-55
276,Standard,Central,2022-05-31 15:18:27.553776890,36-45
277,Basic,West,2022-06-01 04:27:15.217608806,36-45
278,Standard,North,2022-06-01 17:36:02.881440722,26-35
279,Basic,North,2022-06-02 06:44:50.545272638,26-35
280,Basic,North,2022-06-02 19:53:38.209104554,26-35
281,Basic,West,2022-06-03 09:02:25.872936470,36-45
282,Standard,North,2022-06-03 22:11:13.536768386,18-25
283,Standard,East,2022-06-04 11:20:01.200600300,55+
284,Premium,Central,2022-06-05 00:28:48.864432216,26-35
285,Standard,East,2022-06-05 13:37:36.528264132,26-35
286,Premium,North,2022-06-06 02:46:24.192096048,36-45
287,Standard,East,2022-06-06 15:55:11.855927964,46-55
288,Standard,North,2022-06-07 05:03:59.519759880,18-25
289,Standard,West,2022-06-07 18:12:47.183591796,26-35
290,Standard,East,2022-06-08 07:21:34.847423712,55+
291,Premium,West,2022-06-08 20:30:22.511255628,26-35
292,Premium,West,2022-06-09 09:39:10.175087544,26-35
293,Basic,South,2022-06-09 22:47:57.838919460,46-55
294,Standard,North,2022-06-10 11:56:45.502751376,18-25
295,Premium,Central,2022-06-11 01:05:33.166583292,36-45
296,Standard,North,2022-06-11 14:14:20.830415208,26-35
297,Basic,Central,2022-06-12 03:23:08.494247124,26-35
298,Standard,North,2022-06-12 16:31:56.158079040,26-35
299,Standard,West,2022-06-13 05:40:43.821910956,18-25
300,Premium,East,2022-06-13 18:49:31.485742872,26-35
301,Premium,East,2022-06-14 07:58:19.149574788,18-25
302,Standard,South,2022-06-14 21:07:06.813406704,46-55
303,Standard,Central,2022-06-15 10:15:54.477238620,26-35
304,Standard,Central,2022-06-15 23:24:42.141070536,36-45
305,Basic,Central,2022-06-16 12:33:29.804902452,55+
306,Basic,West,2022-06-17 01:42:17.468734368,46-55
307,Standard,Central,2022-06-17 14:51:05.132566284,18-25
308,Standard,East,2022-06-18 03:59:52.796398200,55+
309,Basic,West,2022-06-18 17:08:40.460230116,26-35
310,Standard,North,2022-06-19 06:17:28.124062032,18-25
311,Standard,Central,2022-06-19 19:26:15.787893948,46-55
312,Premium,Central,2022-06-20 08:35:03.451725864,36-45
313,Premium,North,2022-06-20 21:43:51.115557780,36-45
314,Basic,Central,2022-06-21 10:52:38.779389696,26-35
315,Basic,North,2022-06-22 00:01:26.443221612,36-45
316,Standard,West,2022-06-22 13:10:14.107053528,26-35
317,Standard,East,2022-06-23 02:19:01.770885444,55+
318,Premium,North,2022-06-23 15:27:49.434717360,26-35
319,Premium,South,2022-06-24 04:36:37.098549276,55+
320,Standard,North,2022-06-24 17:45:24.762381192,36-45
321,Standard,Central,2022-06-25 06:54:12.426213108,46-55
322,Basic,West,2022-06-25 20:03:00.090045024,46-55
323,Standard,West,2022-06-26 09:11:47.753876940,46-55
324,Standard,North,2022-06-26 22:20:35.417708856,26-35
325,Basic,East,2022-06-27 11:29:23.081540772,26-35
326,Basic,South,2022-06-28 00:38:10.745372688,26-35
327,Standard,West,2022-06-28 13:46:58.409204604,55+
328,Standard,Central,2022-06-29 02:55:46.073036520,46-55
329,Standard,Central,2022-06-29 16:04:33.736868436,36-45
330,Standard,East,2022-06-30 05:13:21.400700352,18-25
331,Standard,West,2022-06-30 18:22:09.064532268,26-35
332,Basic,North,2022-07-01 07:30:56.728364184,36-45
333,Premium,Central,2022-07-01 20:39:44.392196100,36-45
334,Premium,East,2022-07-02 09:48:32.056028014,46-55
335,Premium,West,2022-07-02 22:57:19.719859930,55+
336,Premium,West,2022-07-03 12:06:07.383691846,26-35
337,Basic,West,2022-07-04 01:14:55.047523762,36-45
338,Basic,West,2022-07-04 14:23:42.711355678,36-45
339,Standard,West,2022-07-05 03:32:30.375187594,26-35
340,Premium,Central,2022-07-05 16:41:18.039019510,26-35
341,Standard,East,2022-07-06 05:50:05.702851426,18-25
342,Standard,West,2022-07-06 18:58:53.366683342,55+
343,Premium,South,2022-07-07 08:07:41.030515258,36-45
344,Standard,South,2022-07-07 21:16:28.694347174,36-45
345,Standard,East,2022-07-08 10:25:16.358179090,55+
346,Standard,North,2022-07-08 23:34:04.022011006,46-55
347,Standard,North,2022-07-09 12:42:51.685842922,18-25
348,Premium,North,2022-07-10 01:51:39.349674838,36-45
349,Standard,South,2022-07-10 15:00:27.013506754,36-45
350,Standard,North,2022-07-11 04:09:14.677338670,46-55
351,Standard,Central,2022-07-11 17:18:02.341170586,46-55
352,Basic,West,2022-07-12 06:26:50.005002502,46-55
353,Standard,South,2022-07-12 19:35:37.668834418,26-35
354,Premium,East,2022-07-13 08:44:25.332666334,46-55
355,Premium,East,2022-07-13 21:53:12.996498250,18-25
356,Standard,West,2022-07-14 11:02:00.660330166,26-35
357,Premium,South,2022-07-15 00:10:48.324162082,26-35
358,Standard,North,2022-07-15 13:19:35.987993998,18-25
359,Basic,North,2022-07-16 02:28:23.651825914,26-35
360,Standard,Central,2022-07-16 15:37:11.315657830,46-55
361,Standard,Central,2022-07-17 04:45:58.979489746,55+
362,Standard,North,2022-07-17 17:54:46.643321662,26-35
363,Standard,East,2022-07-18 07:03:34.307153578,26-35
364,Standard,East,2022-07-18 20:12:21.970985494,26-35
365,Basic,Central,2022-07-19 09:21:09.634817410,26-35
366,Standard,West,2022-07-19 22:29:57.298649326,18-25
367,Basic,North,2022-07-20 11:38:44.962481242,55+
368,Basic,Central,2022-07-21 00:47:32.626313158,26-35
369,Premium,Central,2022-07-21 13:56:20.290145074,36-45
370,Premium,North,2022-07-22 03:05:07.953976990,18-25
371,Premium,North,2022-07-22 16:13:55.617808906,55+
372,Premium,East,2022-07-23 05:22:43.281640822,46-55
373,Premium,West,2022-07-23 18:31:30.945472738,55+
374,Standard,West,2022-07-24 07:40:18.609304654,46-55
375,Premium,North,2022-07-24 20:49:06.273136570,26-35
376,Standard,South,2022-07-25 09:57:53.936968486,26-35
377,Basic,Central,2022-07-25 23:06:41.600800402,46-55
378,Premium,Central,2022-07-26 12:15:29.264632318,26-35
379,Basic,North,2022-07-27 01:24:16.928464234,36-45
380,Standard,South,2022-07-27 14:33:04.592296150,18-25
381,Premium,East,2022-07-28 03:41:52.256128066,18-25
382,Standard,North,2022-07-28 16:50:39.919959980,36-45
383,Standard,North,2022-07-29 05:59:27.583791896,36-45
384,Basic,Central,2022-07-29 19:08:15.247623812,46-55
385,Basic,North,2022-07-30 08:17:02.911455728,18-25
386,Basic,North,2022-07-30 21:25:50.575287644,36-45
387,Standard,North,2022-07-31 10:34:38.239119560,26-35
388,Premium,Central,2022-07-31 23:43:25.902951476,18-25
389,Basic,East,2022-08-01 12:52:13.566783392,36-45
390,Basic,East,2022-08-02 02:01:01.230615308,26-35
391,Basic,North,2022-08-02 15:09:48.894447224,26-35
392,Standard,Central,2022-08-03 04:18:36.558279140,26-35
393,Standard,East,2022-08-03 17:27:24.222111056,26-35
394,Basic,East,2022-08-04 06:36:11.885942972,18-25
395,Standard,East,2022-08-04 19:44:59.549774888,18-25
396,Basic,Central,2022-08-05 08:53:47.213606804,26-35
397,Basic,Central,2022-08-05 22:02:34.877438720,18-25
398,Standard,North,2022-08-06 11:11:22.541270636,36-45
399,Basic,West,2022-08-07 00:20:10.205102552,26-35
400,Basic,East,2022-08-07 13:28:57.868934468,26-35
401,Premium,West,2022-08-08 02:37:45.532766384,26-35
402,Basic,Central,2022-08-08 15:46:33.196598300,46-55
403,Standard,Central,2022-08-09 04:55:20.860430216,55+
404,Basic,Central,2022-08-09 18:04:08.524262132,46-55
405,Standard,West,2022-08-10 07:12:56.188094048,46-55
406,Basic,Central,2022-08-10 20:21:43.851925964,36-45
407,Standard,North,2022-08-11 09:30:31.515757880,46-55
408,Premium,Central,2022-08-11 22:39:19.179589796,36-45
409,Basic,South,2022-08-12 11:48:06.843421712,26-35
410,Premium,West,2022-08-13 00:56:54.507253628,26-35
411,Standard,South,2022-08-13 14:05:42.171085544,26-35
412,Basic,Central,2022-08-14 03:14:29.834917460,55+
413,Basic,North,2022-08-14 16:23:17.498749376,36-45
414,Standard,East,2022-08-15 05:32:05.162581292,46-55
415,Standard,Central,2022-08-15 18:40:52.826413208,26-35
416,Standard,North,2022-08-16 07:49:40.490245124,36-45
417,Standard,West,2022-08-16 20:58:28.154077040,18-25
418,Standard,South,2022-08-17 10:07:15.817908956,26-35
419,Standard,South,2022-08-17 23:16:03.481740872,46-55
420,Basic,South,2022-08-18 12:24:51.145572788,36-45
421,Basic,West,2022-08-19 01:33:38.809404704,26-35
422,Basic,North,2022-08-19 14:42:26.473236620,46-55
423,Premium,West,2022-08-20 03:51:14.137068536,26-35
424,Standard,South,2022-08-20 17:00:01.800900452,55+
425,Premium,Central,2022-08-21 06:08:49.464732368,26-35
426,Standard,East,2022-08-21 19:17:37.128564284,26-35
427,Standard,West,2022-08-22 08:26:24.792396200,26-35
428,Basic,West,2022-08-22 21:35:12.456228116,18-25
429,Standard,North,2022-08-23 10:44:00.120060032,18-25
430,Premium,North,2022-08-23 23:52:47.783891948,36-45
431,Premium,West,2022-08-24 13:01:35.447723864,55+
432,Basic,South,2022-08-25 02:10:23.111555780,46-55
433,Standard,East,2022-08-25 15:19:10.775387696,18-25
434,Premium,North,2022-08-26 04:27:58.439219612,36-45
435,Premium,South,2022-08-26 17:36:46.103051528,18-25
436,Basic,Central,2022-08-27 06:45:33.766883444,18-25
437,Premium,North,2022-08-27 19:54:21.430715360,46-55
438,Basic,South,2022-08-28 09:03:09.094547276,36-45
439,Basic,South,2022-08-28 22:11:56.758379192,18-25
440,Premium,East,2022-08-29 11:20:44.422211108,18-25
441,Premium,East,2022-08-30 00:29:32.086043024,55+
442,Basic,Central,2022-08-30 13:38:19.749874940,18-25
443,Standard,South,2022-08-31 02:47:07.413706856,36-45
444,Standard,South,2022-08-31 15:55:55.077538772,36-45
445,Basic,East,2022-09-01 05:04:42.741370688,18-25
446,Basic,North,2022-09-01 18:13:30.405202604,26-35
447,Basic,North,2022-09-02 07:22:18.069034520,26-35
448,Basic,West,2022-09-02 20:31:05.732866436,46-55
449,Standard,East,2022-09-03 09:39:53.396698352,36-45
450,Premium,West,2022-09-03 22:48:41.060530268,36-45
451,Basic,East,2022-09-04 11:57:28.724362184,55+
452,Standard,Central,2022-09-05 01:06:16.388194100,46-55
453,Standard,South,2022-09-05 14:15:04.052026016,36-45
454,Basic,Central,2022-09-06 03:23:51.715857932,36-45
455,Premium,East,2022-09-06 16:32:39.379689848,36-45
456,Standard,South,2022-09-07 05:41:27.043521764,46-55
457,Premium,North,2022-09-07 18:50:14.707353680,36-45
458,Standard,North,2022-09-08 07:59:02.371185596,36-45
459,Premium,West,2022-09-08 21:07:50.035017512,18-25
460,Premium,East,2022-09-09 10:16:37.698849428,36-45
461,Premium,East,2022-09-09 23:25:25.362681344,26-35
462,Standard,North,2022-09-10 12:34:13.026513256,18-25
463,Basic,Central,2022-09-11 01:43:00.690345172,18-25
464,Standard,South,2022-09-11 14:51:48.354177088,36-45
465,Basic,Central,2022-09-12 04:00:36.018009004,36-45
466,Standard,Central,2022-09-12 17:09:23.681840920,26-35
467,Standard,North,2022-09-13 06:18:11.345672836,36-45
468,Basic,North,2022-09-13 19:26:59.009504752,36-45
469,Standard,North,2022-09-14 08:35:46.673336668,26-35
470,Basic,West,2022-09-14 21:44:34.337168584,46-55
471,Premium,Central,2022-09-15 10:53:22.001000500,46-55
472,Basic,East,2022-09-16 00:02:09.664832416,46-55
473,Premium,South,2022-09-16 13:10:57.328664332,36-45
474,Basic,West,2022-09-17 02:19:44.992496248,36-45
475,Standard,East,2022-09-17 15:28:32.656328164,18-25
476,Basic,Central,2022-09-18 04:37:20.320160080,26-35
477,Premium,North,2022-09-18 17:46:07.983991996,18-25
478,Standard,Central,2022-09-19 06:54:55.647823912,55+
479,Basic,South,2022-09-19 20:03:43.311655828,18-25
480,Standard,West,2022-09-20 09:12:30.975487744,26-35
